[ T - Deposit ]
    title = Energy Deposition in lead
     mesh =  reg            # mesh type is region-wise
      reg = 101
     unit =    3            # unit is [1/source] : only for output=deposit
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output = deposit         # deposit enerygy distribution
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
   e-type =    3            # e-mesh is log given by emin, emax and ne
     emin =  1.0000000E-05  # minimum value of e-mesh points
     emax =   10.00000      # maximum value of e-mesh points
#    edel =  6.9077553E-02  # mesh width of e-mesh points
       ne =    200          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-05  1.07152E-05  1.14815E-05  1.23027E-05  1.31826E-05
#           1.41254E-05  1.51356E-05  1.62181E-05  1.73780E-05  1.86209E-05
#           1.99526E-05  2.13796E-05  2.29087E-05  2.45471E-05  2.63027E-05
#           2.81838E-05  3.01995E-05  3.23594E-05  3.46737E-05  3.71535E-05
#           3.98107E-05  4.26580E-05  4.57088E-05  4.89779E-05  5.24807E-05
#           5.62341E-05  6.02560E-05  6.45654E-05  6.91831E-05  7.41310E-05
#           7.94328E-05  8.51138E-05  9.12011E-05  9.77237E-05  1.04713E-04
#           1.12202E-04  1.20226E-04  1.28825E-04  1.38038E-04  1.47911E-04
#           1.58489E-04  1.69824E-04  1.81970E-04  1.94984E-04  2.08930E-04
#           2.23872E-04  2.39883E-04  2.57040E-04  2.75423E-04  2.95121E-04
#           3.16228E-04  3.38844E-04  3.63078E-04  3.89045E-04  4.16869E-04
#           4.46684E-04  4.78630E-04  5.12861E-04  5.49541E-04  5.88844E-04
#           6.30957E-04  6.76083E-04  7.24436E-04  7.76247E-04  8.31764E-04
#           8.91251E-04  9.54993E-04  1.02329E-03  1.09648E-03  1.17490E-03
#           1.25893E-03  1.34896E-03  1.44544E-03  1.54882E-03  1.65959E-03
#           1.77828E-03  1.90546E-03  2.04174E-03  2.18776E-03  2.34423E-03
#           2.51189E-03  2.69153E-03  2.88403E-03  3.09030E-03  3.31131E-03
#           3.54813E-03  3.80189E-03  4.07380E-03  4.36516E-03  4.67735E-03
#           5.01187E-03  5.37032E-03  5.75440E-03  6.16595E-03  6.60693E-03
#           7.07946E-03  7.58578E-03  8.12831E-03  8.70964E-03  9.33254E-03
#           1.00000E-02  1.07152E-02  1.14815E-02  1.23027E-02  1.31826E-02
#           1.41254E-02  1.51356E-02  1.62181E-02  1.73780E-02  1.86209E-02
#           1.99526E-02  2.13796E-02  2.29087E-02  2.45471E-02  2.63027E-02
#           2.81838E-02  3.01995E-02  3.23594E-02  3.46737E-02  3.71535E-02
#           3.98107E-02  4.26580E-02  4.57088E-02  4.89779E-02  5.24807E-02
#           5.62341E-02  6.02560E-02  6.45654E-02  6.91831E-02  7.41310E-02
#           7.94328E-02  8.51138E-02  9.12011E-02  9.77237E-02  1.04713E-01
#           1.12202E-01  1.20226E-01  1.28825E-01  1.38038E-01  1.47911E-01
#           1.58489E-01  1.69824E-01  1.81970E-01  1.94984E-01  2.08930E-01
#           2.23872E-01  2.39883E-01  2.57040E-01  2.75423E-01  2.95121E-01
#           3.16228E-01  3.38844E-01  3.63078E-01  3.89045E-01  4.16869E-01
#           4.46684E-01  4.78630E-01  5.12861E-01  5.49541E-01  5.88844E-01
#           6.30957E-01  6.76083E-01  7.24436E-01  7.76247E-01  8.31764E-01
#           8.91251E-01  9.54993E-01  1.02329E+00  1.09648E+00  1.17490E+00
#           1.25893E+00  1.34896E+00  1.44544E+00  1.54882E+00  1.65959E+00
#           1.77828E+00  1.90546E+00  2.04174E+00  2.18776E+00  2.34423E+00
#           2.51189E+00  2.69153E+00  2.88403E+00  3.09030E+00  3.31131E+00
#           3.54813E+00  3.80189E+00  4.07380E+00  4.36516E+00  4.67735E+00
#           5.01187E+00  5.37032E+00  5.75440E+00  6.16595E+00  6.60693E+00
#           7.07946E+00  7.58578E+00  8.12831E+00  8.70964E+00  9.33254E+00
#           1.00000E+01
     axis =   eng           # axis of output
     file = deposit_Pb.out  # file name of output for the above axis
     part =  204Pb      207Pb      208Pb      electron   positron   all      
# kf/name :  82000204   82000207   82000208   11         -11        0        
    y-txt = Response [cm^2]
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         205 (  0)           0 (  0)         205 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    101

x: Deposit Energy [MeV]
y: Response [cm^2]
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(204Pb   ),hh0l   n y(207Pb   ),hh0dr  n y(208Pb   ),hh0ub  n y(electron),hh0mg  n y(positron),hh0qrr n y(all     ),hh0vbb n 
#  e-lower      e-upper      204Pb       r.err    207Pb       r.err    208Pb       r.err    electron    r.err    positron    r.err    all         r.err 
   1.0000E-05   1.0715E-05   9.9792E-07  1.0000   1.9958E-06  0.7071   5.9875E-06  0.4082   0.0000E+00  0.0000   0.0000E+00  0.0000   1.4969E-05  0.2582
   1.0715E-05   1.1482E-05   9.9792E-07  1.0000   5.9875E-06  0.4082   7.9834E-06  0.3536   0.0000E+00  0.0000   0.0000E+00  0.0000   1.6965E-05  0.2425
   1.1482E-05   1.2303E-05   1.9958E-06  0.7071   6.9855E-06  0.3780   1.4969E-05  0.2582   0.0000E+00  0.0000   0.0000E+00  0.0000   2.8940E-05  0.1857
   1.2303E-05   1.3183E-05   9.9792E-07  1.0000   6.9855E-06  0.3780   9.9792E-06  0.3162   0.0000E+00  0.0000   0.0000E+00  0.0000   2.1954E-05  0.2132
   1.3183E-05   1.4125E-05   0.0000E+00  0.0000   4.9896E-06  0.4472   1.4969E-05  0.2582   0.0000E+00  0.0000   0.0000E+00  0.0000   2.7942E-05  0.1890
   1.4125E-05   1.5136E-05   0.0000E+00  0.0000   2.7594E-07  1.0000   1.1699E-05  0.2896   0.0000E+00  0.0000   0.0000E+00  0.0000   1.9958E-05  0.2236
   1.5136E-05   1.6218E-05   0.0000E+00  0.0000   3.9917E-06  0.5000   2.1954E-05  0.2132   0.0000E+00  0.0000   0.0000E+00  0.0000   2.7942E-05  0.1890
   1.6218E-05   1.7378E-05   0.0000E+00  0.0000   6.9855E-06  0.3780   1.4969E-05  0.2582   0.0000E+00  0.0000   0.0000E+00  0.0000   2.5946E-05  0.1961
   1.7378E-05   1.8621E-05   0.0000E+00  0.0000   8.9813E-06  0.3333   2.1954E-05  0.2132   0.0000E+00  0.0000   0.0000E+00  0.0000   3.7921E-05  0.1622
   1.8621E-05   1.9953E-05   9.9792E-07  1.0000   2.9938E-06  0.5773   1.5967E-05  0.2500   0.0000E+00  0.0000   0.0000E+00  0.0000   2.9938E-05  0.1826
   1.9953E-05   2.1380E-05   0.0000E+00  0.0000   8.9813E-06  0.3333   1.9958E-05  0.2236   0.0000E+00  0.0000   0.0000E+00  0.0000   3.9917E-05  0.1581
   2.1380E-05   2.2909E-05   0.0000E+00  0.0000   6.9855E-06  0.3780   2.3950E-05  0.2041   0.0000E+00  0.0000   0.0000E+00  0.0000   3.5925E-05  0.1667
   2.2909E-05   2.4547E-05   0.0000E+00  0.0000   7.6421E-06  0.3560   2.6107E-05  0.1950   0.0000E+00  0.0000   0.0000E+00  0.0000   4.6902E-05  0.1459
   2.4547E-05   2.6303E-05   9.9792E-07  1.0000   5.9875E-06  0.4082   2.1954E-05  0.2132   0.0000E+00  0.0000   0.0000E+00  0.0000   4.2911E-05  0.1525
   2.6303E-05   2.8184E-05   2.9938E-06  0.5773   1.1975E-05  0.2887   2.4447E-05  0.2010   0.0000E+00  0.0000   0.0000E+00  0.0000   4.9896E-05  0.1414
   2.8184E-05   3.0200E-05   0.0000E+00  0.0000   1.4485E-05  0.2602   2.2952E-05  0.2085   0.0000E+00  0.0000   0.0000E+00  0.0000   5.0894E-05  0.1400
   3.0200E-05   3.2359E-05   9.9792E-07  1.0000   1.1121E-05  0.2942   2.7942E-05  0.1890   0.0000E+00  0.0000   0.0000E+00  0.0000   5.1892E-05  0.1387
   3.2359E-05   3.4674E-05   0.0000E+00  0.0000   1.1975E-05  0.2887   4.4907E-05  0.1491   0.0000E+00  0.0000   0.0000E+00  0.0000   7.3846E-05  0.1162
   3.4674E-05   3.7154E-05   1.1993E-06  0.8489   1.2973E-05  0.2773   3.2278E-05  0.1747   0.0000E+00  0.0000   0.0000E+00  0.0000   6.2869E-05  0.1260
   3.7154E-05   3.9811E-05   0.0000E+00  0.0000   1.4362E-05  0.2614   2.6944E-05  0.1924   0.0000E+00  0.0000   0.0000E+00  0.0000   6.0873E-05  0.1280
   3.9811E-05   4.2658E-05   9.9792E-07  1.0000   1.5664E-05  0.2507   3.3585E-05  0.1712   0.0000E+00  0.0000   0.0000E+00  0.0000   6.6861E-05  0.1222
   4.2658E-05   4.5709E-05   9.9792E-07  1.0000   1.6965E-05  0.2425   3.8721E-05  0.1602   0.0000E+00  0.0000   0.0000E+00  0.0000   7.7838E-05  0.1132
   4.5709E-05   4.8978E-05   0.0000E+00  0.0000   2.0624E-05  0.2177   4.2245E-05  0.1529   0.0000E+00  0.0000   0.0000E+00  0.0000   8.7817E-05  0.1066
   4.8978E-05   5.2481E-05   0.0000E+00  0.0000   2.1130E-05  0.2166   4.3822E-05  0.1508   0.0000E+00  0.0000   0.0000E+00  0.0000   8.9813E-05  0.1054
   5.2481E-05   5.6234E-05   9.9792E-07  1.0000   1.7140E-05  0.2403   5.7518E-05  0.1314   0.0000E+00  0.0000   0.0000E+00  0.0000   1.1676E-04  0.0925
   5.6234E-05   6.0256E-05   2.9938E-06  0.5773   2.1237E-05  0.2156   4.9802E-05  0.1407   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0179E-04  0.0990
